Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug class,Drug name,Drug code
121,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",1,0,,,125.98,,,,,NA,NA,NA
122,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",95,0.99,,,49.14,,,,,NA,NA,NA
123,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0781,Ambulatory infusion pump 1 or multiple channels patient wears,1,0,,,,11.1,,,,NA,NA,NA
124,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",1,0,,,125.98,28.7,,,,NA,NA,NA
125,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",1,0,,,125.98,,,,,NA,NA,NA
126,Carrier M,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0784,"External ambulatory infusion pump, insulin",3,1,,15.6,57.55,,,,,NA,NA,NA
127,Carrier M,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,E0784,"External ambulatory infusion pump, insulin",3,1,,15.6,57.55,,,,,NA,NA,NA
128,Carrier M,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,"External ambulatory infusion pump, insulin",3,0,1,15.6,57.55,,,,,NA,NA,NA
129,Carrier N,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0784,"External ambulatory infusion pump, insulin",7,1,,16.6,40.26,,,,,NA,NA,NA
130,Carrier N,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories",3,1,,,47.4,,,,,NA,NA,NA
131,Carrier N,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0607,Home blood glucose monitor,1,1,,,95.5,,,,,NA,NA,NA
132,Carrier N,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",3,0.67,,,71.31,,,,,NA,NA,NA
133,Carrier N,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",3,0.67,,,71.31,,,,,NA,NA,NA
134,Carrier N,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9278,"Receiver (monitor); external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",3,0.67,,,71.31,,,,,NA,NA,NA
135,Carrier N,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,E0784,"External ambulatory infusion pump, insulin",7,1,,16.6,40.26,,,,,NA,NA,NA
136,Carrier N,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories",3,1,,,47.4,,,,,NA,NA,NA
137,Carrier N,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,E0607,Home blood glucose monitor,1,1,,,95.5,,,,,NA,NA,NA
138,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5301,"Below knee, molded socket, shin, sach foot, endoskeletal system",2,1,,,36,,,,,NA,NA,NA
139,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5620,"Addition to lower extremity, test socket, below knee",2,1,,,36,,,,,NA,NA,NA
140,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5637,"Addition to lower extremity, below knee, total contact",2,1,,,36,,,,,NA,NA,NA
141,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5671,"Addition to lower extremity, below knee / above knee suspension locking mechanism (shuttle, lanyard or equal), excludes socket insert",2,1,,,36,,,,,NA,NA,NA
142,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5673,"Addition to lower extremity, below knee/above knee, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, for use with locking mechanism",2,1,,,36,,,,,NA,NA,NA
143,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5910,"Addition, endoskeletal system, below knee, alignable system",2,1,,,36,,,,,NA,NA,NA
144,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5940,"Addition, endoskeletal system, below knee, ultra-light material (titanium, carbon fiber or equal)",2,1,,,36,,,,,NA,NA,NA
145,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5986,"Equal) all lower extremity prostheses, multi-axial rotation unit (""mcp"" or",2,1,,,36,,,,,NA,NA,NA
146,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1007,"Wheelchair accessory, power seating system, combination tilt and recline, with mechanical shear reduction",2,0.5,,12,36,,,,,NA,NA,NA
147,Carrier A,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2311,"Power wheelchair accessory, electronic connection between wheelchair controller and two or more power seating system motors, including all related electronics, indicator feature, mechanical function selection switch, and fixedmounting hardware",2,0.5,,12,36,,,,,NA,NA,NA
148,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5301,"Below knee, molded socket, shin, sach foot, endoskeletal system",2,1,,,36,,,,,NA,NA,NA
149,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5620,"Addition to lower extremity, test socket, below knee",2,1,,,36,,,,,NA,NA,NA
150,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5637,"Addition to lower extremity, below knee, total contact",2,1,,,36,,,,,NA,NA,NA
151,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5671,"Addition to lower extremity, below knee / above knee suspension locking mechanism (shuttle, lanyard or equal), excludes socket insert",2,1,,,36,,,,,NA,NA,NA
152,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5673,"Addition to lower extremity, below knee/above knee, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, for use with locking mechanism",2,1,,,36,,,,,NA,NA,NA
153,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5910,"Addition, endoskeletal system, below knee, alignable system",2,1,,,36,,,,,NA,NA,NA
154,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5940,"Addition, endoskeletal system, below knee, ultra-light material (titanium, carbon fiber or equal)",2,1,,,36,,,,,NA,NA,NA
155,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5986,"Equal) all lower extremity prostheses, multi-axial rotation unit (""mcp"" or",2,1,,,36,,,,,NA,NA,NA
156,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5987,"All lower extremity prosthesis, shank foot system with vertical loading pylon.",2,1,,,36,,,,,NA,NA,NA
157,Carrier A,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L8420,"Prosthetic sock, multiple ply, below knee, each",2,1,,,36,,,,,NA,NA,NA
158,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0466,Home ventilator any type used w/non-invasv intf,1,1,,19.4,,,,,,NA,NA,NA
159,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2599,"Accessory for speech generating device, not otherwise classified",1,1,,,45.8,,,,,NA,NA,NA
160,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0601,Continuous airway pressure (cpap) device [may be used for either cpap or apap],226,0.95,,,2.3,,,,,NA,NA,NA
161,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0470,"Respiratory assist device, bi-level pressure capability, without back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)",10,0.8,,,17.4,496,,,,NA,NA,NA
162,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate",5,0.8,,,5.4,,,,,NA,NA,NA
163,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0748,"Osteogenesis stimulator, electrical, noninvasive, spinal applications",9,0.56,,,51.9,,,,,NA,NA,NA
164,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0747,"Osteogenesis stimulator, electrical, noninvasive, other than spinal applications",2,0.5,,,121.5,,,,,NA,NA,NA
165,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1399,"Durable medical equipment, miscellaneous",10,0.2,,,107.3,,,,,NA,NA,NA
166,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0637,"Combination sit to stand system, any size, with seat lift feature, with or without wheels",2,0,,,112.7,,,,,NA,NA,NA
167,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1233,"Wheelchair, pediatric size, tilt-in-space, rigid, adj, wo seating",1,0,,,81.1,,,,,NA,NA,NA
168,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0240,Bath/shower chair w/wo wheels any size,1,0,,,,,,,,NA,NA,NA
169,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2213,Pneumatic prop tire insert,1,0,,,81.1,,,,,NA,NA,NA
170,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0973,Wheelchair adjustabl height,1,0,,,81.1,,,,,NA,NA,NA
171,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0978,"Wheelchair accessory, positioning belt/safety belt/pelvic strap, each",1,0,,,,,,,,NA,NA,NA
172,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1028,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware for joystick, other control interface or positioning accessory",1,0,,,,,,,,NA,NA,NA
173,Carrier B,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2231,Solid seat support base,1,0,,,81.1,,,,,NA,NA,NA
